ms,adc_ch1,volt_ch1,adc_ch2,volt_ch2,rep
208,0,0.0,89,0.07172161172161172,1
403,0,0.0,89,0.07172161172161172,1
595,0,0.0,144,0.11604395604395604,1
794,0,0.0,164,0.13216117216117215,1
984,0,0.0,269,0.21677655677655677,1
1268,99,0.07978021978021978,99,0.07978021978021978,1
1470,31,0.02498168498168498,0,0.0,1
1675,6,0.004835164835164835,0,0.0,1
1877,0,0.0,0,0.0,1
2066,0,0.0,278,0.224029304029304,1
2256,0,0.0,208,0.1676190476190476,1
2392,0,0.0,290,0.23369963369963367,1
2614,0,0.0,399,0.32153846153846155,1
2803,0,0.0,369,0.29736263736263735,1
3004,0,0.0,155,0.1249084249084249,2
3207,0,0.0,241,0.1942124542124542,2
3398,0,0.0,159,0.12813186813186814,2
3621,25,0.020146520146520144,211,0.17003663003663003,2
3811,101,0.08139194139194139,335,0.26996336996336995,2
4025,66,0.05318681318681319,300,0.24175824175824176,2
4217,6,0.004835164835164835,236,0.19018315018315018,2
4408,0,0.0,144,0.11604395604395604,2
4605,0,0.0,129,0.10395604395604395,2
4795,0,0.0,107,0.08622710622710622,2
4996,0,0.0,236,0.19018315018315018,2
5203,0,0.0,142,0.11443223443223444,2
5394,0,0.0,209,0.16842490842490843,2
5593,0,0.0,135,0.1087912087912088,2
5785,0,0.0,116,0.09347985347985348,2
5977,0,0.0,135,0.1087912087912088,2
6266,0,0.0,108,0.08703296703296703,3
6378,0,0.0,202,0.16278388278388278,3
6675,0,0.0,449,0.3618315018315018,3
6865,0,0.0,154,0.1241025641025641,3
6976,0,0.0,144,0.11604395604395604,3
7177,0,0.0,326,0.2627106227106227,3
7382,0,0.0,252,0.20307692307692307,3
7604,0,0.0,229,0.18454212454212454,3
7821,0,0.0,122,0.09831501831501832,3
8045,0,0.0,238,0.19179487179487179,3
8275,0,0.0,191,0.1539194139194139,3
8386,0,0.0,171,0.1378021978021978,3
8610,0,0.0,151,0.12168498168498168,3
8822,0,0.0,144,0.11604395604395604,3
9043,0,0.0,213,0.17164835164835165,4
9277,0,0.0,118,0.09509157509157509,4
9389,0,0.0,236,0.19018315018315018,4
9612,0,0.0,126,0.10153846153846154,4
9842,0,0.0,128,0.10315018315018315,4
10064,0,0.0,117,0.09428571428571428,4
10286,14,0.011282051282051281,167,0.13457875457875457,4
10392,32,0.025787545787545788,499,0.4021245421245421,4
10616,19,0.01531135531135531,177,0.14263736263736262,4
10845,0,0.0,118,0.09509157509157509,4
11069,0,0.0,107,0.08622710622710622,4
11181,0,0.0,124,0.09992673992673992,4
11410,0,0.0,224,0.1805128205128205,4
11636,0,0.0,333,0.2683516483516483,4
11859,0,0.0,119,0.09589743589743589,4
12087,0,0.0,117,0.09428571428571428,5
12195,0,0.0,113,0.09106227106227105,5
12428,0,0.0,496,0.3997069597069597,5
12652,0,0.0,163,0.13135531135531134,5
12875,0,0.0,142,0.11443223443223444,5
12993,0,0.0,262,0.2111355311355311,5
13217,0,0.0,178,0.14344322344322344,5
13454,0,0.0,434,0.3497435897435897,5
13687,0,0.0,150,0.12087912087912088,5
13798,0,0.0,227,0.1829304029304029,5
14028,0,0.0,208,0.1676190476190476,5
14248,0,0.0,137,0.1104029304029304,5
14470,0,0.0,167,0.13457875457875457,5
14577,0,0.0,128,0.10315018315018315,5
14799,0,0.0,118,0.09509157509157509,5
15021,0,0.0,177,0.14263736263736262,6
15240,0,0.0,128,0.10315018315018315,6
15461,0,0.0,109,0.08783882783882783,6
15690,0,0.0,208,0.1676190476190476,6
15801,0,0.0,430,0.3465201465201465,6
16022,0,0.0,114,0.09186813186813186,6
16239,0,0.0,189,0.1523076923076923,6
16460,0,0.0,178,0.14344322344322344,6
